Name,Description,Managers,Members
T80,Team Description from T80,80,9495348345
T81,Team Description from T81,81,9523431460
T82,Team Description from T82,82,9969783344
T83,Team Description from T83,83,9638006026
T84,Team Description from T84,84,9905115039
T85,Team Description from T85,85,9034316192
T86,Team Description from T86,86,9495783658
T87,Team Description from T87,87,9363193398
T88,Team Description from T88,88,9838217922
T89,Team Description from T89,89,9397464910
T90,Team Description from T90,90,9285664280
T91,Team Description from T91,91,9957078874
T92,Team Description from T92,92,9545947156
T93,Team Description from T93,93,9397613491
T94,Team Description from T94,94,9745282128
T95,Team Description from T95,95,9246364079
T96,Team Description from T96,96,9791376417
T97,Team Description from T97,97,9883204894
T98,Team Description from T98,98,9257552951
T99,Team Description from T99,99,9881224919
T100,Team Description from T100,100,9495319390
T101,Team Description from T101,101,9646910840
T102,Team Description from T102,102,9749299814
T103,Team Description from T103,103,9177847613
T104,Team Description from T104,104,9282856107
T105,Team Description from T105,105,9087384326
T106,Team Description from T106,106,9882883681
T107,Team Description from T107,107,9003514121
T108,Team Description from T108,108,9261110713
T109,Team Description from T109,109,9481703816
T110,Team Description from T110,110,9995431632
T111,Team Description from T111,111,9200656688
T112,Team Description from T112,112,9034672413
T113,Team Description from T113,113,9252938745
T114,Team Description from T114,114,9540321426
T115,Team Description from T115,115,9141802732
T116,Team Description from T116,116,9603929328
T117,Team Description from T117,117,9250494042
T118,Team Description from T118,118,9317252991
T119,Team Description from T119,119,9071139906
T120,Team Description from T120,120,9249129747
T121,Team Description from T121,121,9515833002
T122,Team Description from T122,122,9485005044
T123,Team Description from T123,123,9633750628
T124,Team Description from T124,124,9479257216
T125,Team Description from T125,125,9437090301
T126,Team Description from T126,126,9592329408
T127,Team Description from T127,127,9643158818
T128,Team Description from T128,128,9016035753
T129,Team Description from T129,129,9273934605
T130,Team Description from T130,130,9638015326
T131,Team Description from T131,131,9782104298
T132,Team Description from T132,132,9317524908
T133,Team Description from T133,133,9001558293
T134,Team Description from T134,134,9573193219
T135,Team Description from T135,135,9007567540
T136,Team Description from T136,136,9647450681
T137,Team Description from T137,137,9169604306
T138,Team Description from T138,138,9772860168
T139,Team Description from T139,139,9111956626
T140,Team Description from T140,140,9376146651
T141,Team Description from T141,141,9959347248
T142,Team Description from T142,142,9141642507
T143,Team Description from T143,143,9818125271
T144,Team Description from T144,144,9682372044
T145,Team Description from T145,145,9848891636
T146,Team Description from T146,146,9103336527
T147,Team Description from T147,147,9346503657
T148,Team Description from T148,148,9304752167
T149,Team Description from T149,149,9689574822
T150,Team Description from T150,150,9748025334
T151,Team Description from T151,151,9383436519
T152,Team Description from T152,152,9374628452
T153,Team Description from T153,153,9136951008
T154,Team Description from T154,154,9833110964
T155,Team Description from T155,155,9367396214
T156,Team Description from T156,156,9771681514
T157,Team Description from T157,157,9761713008
T158,Team Description from T158,158,9523315166
T159,Team Description from T159,159,9915094589
T160,Team Description from T160,160,9297924276
T161,Team Description from T161,161,9829450055
T162,Team Description from T162,162,9665785884
T163,Team Description from T163,163,9912625606
T164,Team Description from T164,164,9200069209
T165,Team Description from T165,165,9711483846
T166,Team Description from T166,166,9572661079
T167,Team Description from T167,167,9855213365
T168,Team Description from T168,168,9855216438
T169,Team Description from T169,169,9538879548
T170,Team Description from T170,170,9205413054
T171,Team Description from T171,171,9009069386
T172,Team Description from T172,172,9176237676
T173,Team Description from T173,173,9554446623
T174,Team Description from T174,174,9207645024
T175,Team Description from T175,175,9330792127
T176,Team Description from T176,176,9478421800
T177,Team Description from T177,177,9743062220
T178,Team Description from T178,178,9336269884
T179,Team Description from T179,179,9454635111
T180,Team Description from T180,180,9410982738
T181,Team Description from T181,181,9027328665
T182,Team Description from T182,182,9426502798
T183,Team Description from T183,183,9102403983
T184,Team Description from T184,184,9957401533
T185,Team Description from T185,185,9052835251
T186,Team Description from T186,186,9868945718
T187,Team Description from T187,187,9015583475
T188,Team Description from T188,188,9549556749
T189,Team Description from T189,189,9380553800
T190,Team Description from T190,190,9480466899
T191,Team Description from T191,191,9653119669
T192,Team Description from T192,192,9464693249
T193,Team Description from T193,193,9668889312
T194,Team Description from T194,194,9274557935
T195,Team Description from T195,195,9041468784
T196,Team Description from T196,196,9181183431
T197,Team Description from T197,197,9828286812
T198,Team Description from T198,198,9206245025
T199,Team Description from T199,199,9865721887
T200,Team Description from T200,200,9790718138
T201,Team Description from T201,201,9519164240
T202,Team Description from T202,202,9956224345
T203,Team Description from T203,203,9374588791
T204,Team Description from T204,204,9403824686
T205,Team Description from T205,205,9011007237
T206,Team Description from T206,206,9751127141
T207,Team Description from T207,207,9958839915
T208,Team Description from T208,208,9321277219
T209,Team Description from T209,209,9435511049
T210,Team Description from T210,210,9382954434
T211,Team Description from T211,211,9171619742
T212,Team Description from T212,212,9190052469
T213,Team Description from T213,213,9644534696
T214,Team Description from T214,214,9200750041
T215,Team Description from T215,215,9799014309
T216,Team Description from T216,216,9277832079
T217,Team Description from T217,217,9185383038
T218,Team Description from T218,218,9870820360
T219,Team Description from T219,219,9900723624
T220,Team Description from T220,220,9781677600
T221,Team Description from T221,221,9463016657
T222,Team Description from T222,222,9052338825
T223,Team Description from T223,223,9709014315
T224,Team Description from T224,224,9875700951
T225,Team Description from T225,225,9211465431
T226,Team Description from T226,226,9651510187
T227,Team Description from T227,227,9473767944
T228,Team Description from T228,228,9816784193
T229,Team Description from T229,229,9601586533
T230,Team Description from T230,230,9246319203
T231,Team Description from T231,231,9032682201
T232,Team Description from T232,232,9028547506
T233,Team Description from T233,233,9105741511
T234,Team Description from T234,234,9817865563
T235,Team Description from T235,235,9065729096
T236,Team Description from T236,236,9068194115
T237,Team Description from T237,237,9961160879
T238,Team Description from T238,238,9383287681
T239,Team Description from T239,239,9701135992
T240,Team Description from T240,240,9703557703
T241,Team Description from T241,241,9074273470
T242,Team Description from T242,242,9128256848
T243,Team Description from T243,243,9690409180
T244,Team Description from T244,244,9907983714
T245,Team Description from T245,245,9097346964
T246,Team Description from T246,246,9398601758
T247,Team Description from T247,247,9229893212
T248,Team Description from T248,248,9968218400
T249,Team Description from T249,249,9213684118
T250,Team Description from T250,250,9689072708
T251,Team Description from T251,251,9377153723
T252,Team Description from T252,252,9466475808
T253,Team Description from T253,253,9154071984
T254,Team Description from T254,254,9084199522
T255,Team Description from T255,255,9729643354
T256,Team Description from T256,256,9105627650
T257,Team Description from T257,257,9401016953
T258,Team Description from T258,258,9947672491
T259,Team Description from T259,259,9838043020
T260,Team Description from T260,260,9678530286
T261,Team Description from T261,261,9503609543
T262,Team Description from T262,262,9556434371
T263,Team Description from T263,263,9287262811
T264,Team Description from T264,264,9250539131
T265,Team Description from T265,265,9393563558
T266,Team Description from T266,266,9343789698
T267,Team Description from T267,267,9643114963
T268,Team Description from T268,268,9674235919
T269,Team Description from T269,269,9596236534
T270,Team Description from T270,270,9581015333
T271,Team Description from T271,271,9208583838
T272,Team Description from T272,272,9499748628
T273,Team Description from T273,273,9354402251
T274,Team Description from T274,274,9215147928
T275,Team Description from T275,275,9167138542
T276,Team Description from T276,276,9854716711
T277,Team Description from T277,277,9027134778
T278,Team Description from T278,278,9900681689
T279,Team Description from T279,279,9639600974
T280,Team Description from T280,280,9970809540
T281,Team Description from T281,281,9832542959
T282,Team Description from T282,282,9168070664
T283,Team Description from T283,283,9250733994
T284,Team Description from T284,284,9130948810
T285,Team Description from T285,285,9488313624
T286,Team Description from T286,286,9278908546
T287,Team Description from T287,287,9440728757
T288,Team Description from T288,288,9025534952
T289,Team Description from T289,289,9698845437
T290,Team Description from T290,290,9921737849
T291,Team Description from T291,291,9797051490
T292,Team Description from T292,292,9299710448
T293,Team Description from T293,293,9456859931
T294,Team Description from T294,294,9356825535
T295,Team Description from T295,295,9342577054
T296,Team Description from T296,296,9247636352
T297,Team Description from T297,297,9648558994
T298,Team Description from T298,298,9483557673
T299,Team Description from T299,299,9724604259
T300,Team Description from T300,300,9582522880
T301,Team Description from T301,301,9464393621
T302,Team Description from T302,302,9495659611
T303,Team Description from T303,303,9064326494
T304,Team Description from T304,304,9553770141
T305,Team Description from T305,305,9522964121
T306,Team Description from T306,306,9776533556
T307,Team Description from T307,307,9791739560
T308,Team Description from T308,308,9285597199
T309,Team Description from T309,309,9403367736
T310,Team Description from T310,310,9984269549
T311,Team Description from T311,311,9014727241
T312,Team Description from T312,312,9887976342
T313,Team Description from T313,313,9159545655
T314,Team Description from T314,314,9700683810
T315,Team Description from T315,315,9251260708
T316,Team Description from T316,316,9654822380
T317,Team Description from T317,317,9667483686
T318,Team Description from T318,318,9013643716
T319,Team Description from T319,319,9769678595
T320,Team Description from T320,320,9240793185
T321,Team Description from T321,321,9418998516
T322,Team Description from T322,322,9724684649
T323,Team Description from T323,323,9008706240
T324,Team Description from T324,324,9808054522
T325,Team Description from T325,325,9080931391
T326,Team Description from T326,326,9725558247
T327,Team Description from T327,327,9469618069
T328,Team Description from T328,328,9232514714
T329,Team Description from T329,329,9978998404
T330,Team Description from T330,330,9659800550
T331,Team Description from T331,331,9778298252
T332,Team Description from T332,332,9467838378
T333,Team Description from T333,333,9733357095
T334,Team Description from T334,334,9618485206
T335,Team Description from T335,335,9011933547
T336,Team Description from T336,336,9068406651
T337,Team Description from T337,337,9628286196
T338,Team Description from T338,338,9164571553
T339,Team Description from T339,339,9844033993
T340,Team Description from T340,340,9566028750
T341,Team Description from T341,341,9499707472
T342,Team Description from T342,342,9867079933
T343,Team Description from T343,343,9835183003
T344,Team Description from T344,344,9344649262
T345,Team Description from T345,345,9574278380
T346,Team Description from T346,346,9968951022
T347,Team Description from T347,347,9712643090
T348,Team Description from T348,348,9782788139
T349,Team Description from T349,349,9675240788
T350,Team Description from T350,350,9424111096
T351,Team Description from T351,351,9696849006
T352,Team Description from T352,352,9236231957
T353,Team Description from T353,353,9010275348
T354,Team Description from T354,354,9763445789
T355,Team Description from T355,355,9221980791
T356,Team Description from T356,356,9763417246
T357,Team Description from T357,357,9975694642
T358,Team Description from T358,358,9946132634
T359,Team Description from T359,359,9221041807
T360,Team Description from T360,360,9741885751
T361,Team Description from T361,361,9906267043
T362,Team Description from T362,362,9403846232
T363,Team Description from T363,363,9741826123
T364,Team Description from T364,364,9798745037
T365,Team Description from T365,365,9650593644
T366,Team Description from T366,366,9432893505
T367,Team Description from T367,367,9289113977
T368,Team Description from T368,368,9832985249
T369,Team Description from T369,369,9176540710
T370,Team Description from T370,370,9374093877
T371,Team Description from T371,371,9366703405
T372,Team Description from T372,372,9393999078
T373,Team Description from T373,373,9946865006
T374,Team Description from T374,374,9428428357
T375,Team Description from T375,375,9967963273
T376,Team Description from T376,376,9442812110
T377,Team Description from T377,377,9149349223
T378,Team Description from T378,378,9333428546
T379,Team Description from T379,379,9537314135
T380,Team Description from T380,380,9657719418
T381,Team Description from T381,381,9643096590
T382,Team Description from T382,382,9418672052
T383,Team Description from T383,383,9152166207
T384,Team Description from T384,384,9790782592
T385,Team Description from T385,385,9886141782
T386,Team Description from T386,386,9049231900
T387,Team Description from T387,387,9861856516
T388,Team Description from T388,388,9346449996
T389,Team Description from T389,389,9524938943
T390,Team Description from T390,390,9631833024
T391,Team Description from T391,391,9886832155
T392,Team Description from T392,392,9925332516
T393,Team Description from T393,393,9077976039
T394,Team Description from T394,394,9895052277
T395,Team Description from T395,395,9024155629
T396,Team Description from T396,396,9657441961
T397,Team Description from T397,397,9058524279
T398,Team Description from T398,398,9246117938
T399,Team Description from T399,399,9696728109
T400,Team Description from T400,400,9312615926
T401,Team Description from T401,401,9792299473
T402,Team Description from T402,402,9769004051
T403,Team Description from T403,403,9391903945
T404,Team Description from T404,404,9956727858
T405,Team Description from T405,405,9012976245
T406,Team Description from T406,406,9076828325
T407,Team Description from T407,407,9959462810
T408,Team Description from T408,408,9524378318
T409,Team Description from T409,409,9470289587
T410,Team Description from T410,410,9179117129
T411,Team Description from T411,411,9431221234
T412,Team Description from T412,412,9759172438
T413,Team Description from T413,413,9700412743
T414,Team Description from T414,414,9279651560
T415,Team Description from T415,415,9207677762
T416,Team Description from T416,416,9962554514
T417,Team Description from T417,417,9348526002
T418,Team Description from T418,418,9016155703
T419,Team Description from T419,419,9338114010
T420,Team Description from T420,420,9124249573
T421,Team Description from T421,421,9685196018
T422,Team Description from T422,422,9254275853
T423,Team Description from T423,423,9398092985
T424,Team Description from T424,424,9440871023
T425,Team Description from T425,425,9394893313
T426,Team Description from T426,426,9588647395
T427,Team Description from T427,427,9272537308
T428,Team Description from T428,428,9165472517
T429,Team Description from T429,429,9019672844
T430,Team Description from T430,430,9654384864
T431,Team Description from T431,431,9949177863
T432,Team Description from T432,432,9557963675
T433,Team Description from T433,433,9895623421
T434,Team Description from T434,434,9920688910
T435,Team Description from T435,435,9951828181
T436,Team Description from T436,436,9952533483
T437,Team Description from T437,437,9575720921
T438,Team Description from T438,438,9189034284
T439,Team Description from T439,439,9878561432
T440,Team Description from T440,440,9047401118
T441,Team Description from T441,441,9249667114
T442,Team Description from T442,442,9306800396
T443,Team Description from T443,443,9208247345
T444,Team Description from T444,444,9692232891
T445,Team Description from T445,445,9353764688
T446,Team Description from T446,446,9425912295
T447,Team Description from T447,447,9564783930
T448,Team Description from T448,448,9951062169
T449,Team Description from T449,449,9333527032
T450,Team Description from T450,450,9647141196
T451,Team Description from T451,451,9599159299
T452,Team Description from T452,452,9010492012
T453,Team Description from T453,453,9152841285
T454,Team Description from T454,454,9969990580
T455,Team Description from T455,455,9995081541
T456,Team Description from T456,456,9150747581
T457,Team Description from T457,457,9929959856
T458,Team Description from T458,458,9728522230
T459,Team Description from T459,459,9827815698
T460,Team Description from T460,460,9979632683
T461,Team Description from T461,461,9859619237
T462,Team Description from T462,462,9766406779
T463,Team Description from T463,463,9910293344
T464,Team Description from T464,464,9215685184
T465,Team Description from T465,465,9479002348
T466,Team Description from T466,466,9631841092
T467,Team Description from T467,467,9051485960
T468,Team Description from T468,468,9279242099
T469,Team Description from T469,469,9981810331
T470,Team Description from T470,470,9915121634
T471,Team Description from T471,471,9117590975
T472,Team Description from T472,472,9955644596
T473,Team Description from T473,473,9337702442
T474,Team Description from T474,474,9725671803
T475,Team Description from T475,475,9309695650
T476,Team Description from T476,476,9151264782
T477,Team Description from T477,477,9993237949
T478,Team Description from T478,478,9962480961
T479,Team Description from T479,479,9936970729
T480,Team Description from T480,480,9850391081
T481,Team Description from T481,481,9386817218
T482,Team Description from T482,482,9500598719
T483,Team Description from T483,483,9651048264
T484,Team Description from T484,484,9992683330
T485,Team Description from T485,485,9816980468
T486,Team Description from T486,486,9018533475
T487,Team Description from T487,487,9220389298
T488,Team Description from T488,488,9782221189
T489,Team Description from T489,489,9336442074
T490,Team Description from T490,490,9325790498
T491,Team Description from T491,491,9678339410
T492,Team Description from T492,492,9127565991
T493,Team Description from T493,493,9217530791
T494,Team Description from T494,494,9775364754
T495,Team Description from T495,495,9744955495
T496,Team Description from T496,496,9501659627
T497,Team Description from T497,497,9294414719
T498,Team Description from T498,498,9580612612
T499,Team Description from T499,499,9200743951
T500,Team Description from T500,500,9295581658
T501,Team Description from T501,501,9612460118
T502,Team Description from T502,502,9662768699
T503,Team Description from T503,503,9316396122
T504,Team Description from T504,504,9999020424
T505,Team Description from T505,505,9371845684
T506,Team Description from T506,506,9537111752
T507,Team Description from T507,507,9461769135
T508,Team Description from T508,508,9518336842
T509,Team Description from T509,509,9156650552
T510,Team Description from T510,510,9540820776
T511,Team Description from T511,511,9515181910
T512,Team Description from T512,512,9431270562
T513,Team Description from T513,513,9969596966
T514,Team Description from T514,514,9789452552
T515,Team Description from T515,515,9172740147
T516,Team Description from T516,516,9502724879
T517,Team Description from T517,517,9548035492
T518,Team Description from T518,518,9859490333
T519,Team Description from T519,519,9883802431
T520,Team Description from T520,520,9743399963
T521,Team Description from T521,521,9220311547
T522,Team Description from T522,522,9219524889
T523,Team Description from T523,523,9038171492
T524,Team Description from T524,524,9406255722
T525,Team Description from T525,525,9124111817
T526,Team Description from T526,526,9610770575
T527,Team Description from T527,527,9806645099
T528,Team Description from T528,528,9850959631
T529,Team Description from T529,529,9880475517
T530,Team Description from T530,530,9187249909
T531,Team Description from T531,531,9609534490
T532,Team Description from T532,532,9092790187
T533,Team Description from T533,533,9436864358
T534,Team Description from T534,534,9199267393
T535,Team Description from T535,535,9348500736
T536,Team Description from T536,536,9944334173
T537,Team Description from T537,537,9435740429
T538,Team Description from T538,538,9652429084
T539,Team Description from T539,539,9403111735
T540,Team Description from T540,540,9860482847
T541,Team Description from T541,541,9936398930
T542,Team Description from T542,542,9290225182
T543,Team Description from T543,543,9327574920
T544,Team Description from T544,544,9370798218
T545,Team Description from T545,545,9039137049
T546,Team Description from T546,546,9243680885
T547,Team Description from T547,547,9064277471
T548,Team Description from T548,548,9015100781
T549,Team Description from T549,549,9751341591
T550,Team Description from T550,550,9156629344
T551,Team Description from T551,551,9867782732
T552,Team Description from T552,552,9787916171
T553,Team Description from T553,553,9385512547
T554,Team Description from T554,554,9950636340
T555,Team Description from T555,555,9505943258
T556,Team Description from T556,556,9808348270
T557,Team Description from T557,557,9301300556
T558,Team Description from T558,558,9119881184
T559,Team Description from T559,559,9460809368
T560,Team Description from T560,560,9534046337
T561,Team Description from T561,561,9310371254
T562,Team Description from T562,562,9618067788
T563,Team Description from T563,563,9373102010
T564,Team Description from T564,564,9315277469
T565,Team Description from T565,565,9196976852
T566,Team Description from T566,566,9114845087
T567,Team Description from T567,567,9545559003
T568,Team Description from T568,568,9668693231
T569,Team Description from T569,569,9733054138
T570,Team Description from T570,570,9687404486
T571,Team Description from T571,571,9873470571
T572,Team Description from T572,572,9197925563
T573,Team Description from T573,573,9099646258
T574,Team Description from T574,574,9898126583
T575,Team Description from T575,575,9724636235
T576,Team Description from T576,576,9187269728
T577,Team Description from T577,577,9242941952
T578,Team Description from T578,578,9441422117
T579,Team Description from T579,579,9899009699
T580,Team Description from T580,580,9226086999
T581,Team Description from T581,581,9489100325
T582,Team Description from T582,582,9147577295
T583,Team Description from T583,583,9464890633
T584,Team Description from T584,584,9846418316
T585,Team Description from T585,585,9980051680
T586,Team Description from T586,586,9492375408
T587,Team Description from T587,587,9696667903
T588,Team Description from T588,588,9449980506
T589,Team Description from T589,589,9557090800
T590,Team Description from T590,590,9188770321
T591,Team Description from T591,591,9451035729
T592,Team Description from T592,592,9282400681
T593,Team Description from T593,593,9664673138
T594,Team Description from T594,594,9984193643
T595,Team Description from T595,595,9054997800
T596,Team Description from T596,596,9538057775
T597,Team Description from T597,597,9489564871
T598,Team Description from T598,598,9440087599
T599,Team Description from T599,599,9773810214
T600,Team Description from T600,600,9066302697
T601,Team Description from T601,601,9498761430
T602,Team Description from T602,602,9484704606
T603,Team Description from T603,603,9574000600
T604,Team Description from T604,604,9839907160
T605,Team Description from T605,605,9145630461
T606,Team Description from T606,606,9880692466
T607,Team Description from T607,607,9705484575
T608,Team Description from T608,608,9726073497
T609,Team Description from T609,609,9118538815
T610,Team Description from T610,610,9801347050
T611,Team Description from T611,611,9610741714
T612,Team Description from T612,612,9707962462
T613,Team Description from T613,613,9365025054
T614,Team Description from T614,614,9631987186
T615,Team Description from T615,615,9223770812
T616,Team Description from T616,616,9399187079
T617,Team Description from T617,617,9648756263
T618,Team Description from T618,618,9296478979
T619,Team Description from T619,619,9669664977
T620,Team Description from T620,620,9527316330
T621,Team Description from T621,621,9292386359
T622,Team Description from T622,622,9173133230
T623,Team Description from T623,623,9166324686
T624,Team Description from T624,624,9135916467
T625,Team Description from T625,625,9157980209
T626,Team Description from T626,626,9580941039
T627,Team Description from T627,627,9635690418
T628,Team Description from T628,628,9698388907
T629,Team Description from T629,629,9512633266
T630,Team Description from T630,630,9037072634
T631,Team Description from T631,631,9790161653
T632,Team Description from T632,632,9290128456
T633,Team Description from T633,633,9456929989
T634,Team Description from T634,634,9911551814
T635,Team Description from T635,635,9253336794
T636,Team Description from T636,636,9778340612
T637,Team Description from T637,637,9762085834
T638,Team Description from T638,638,9557499495
T639,Team Description from T639,639,9120400271
T640,Team Description from T640,640,9144705272
T641,Team Description from T641,641,9449820913
T642,Team Description from T642,642,9120651460
T643,Team Description from T643,643,9736805714
T644,Team Description from T644,644,9783189593
T645,Team Description from T645,645,9340578227
T646,Team Description from T646,646,9111555427
T647,Team Description from T647,647,9959274411
T648,Team Description from T648,648,9446163648
T649,Team Description from T649,649,9175280462
T650,Team Description from T650,650,9696640315
T651,Team Description from T651,651,9580245439
T652,Team Description from T652,652,9954295613
T653,Team Description from T653,653,9674271778
T654,Team Description from T654,654,9513596549
T655,Team Description from T655,655,9127020291
T656,Team Description from T656,656,9603397556
T657,Team Description from T657,657,9144743802
T658,Team Description from T658,658,9555480829
T659,Team Description from T659,659,9815713182
T660,Team Description from T660,660,9837453680
T661,Team Description from T661,661,9607976106
T662,Team Description from T662,662,9132135087
T663,Team Description from T663,663,9322128392
T664,Team Description from T664,664,9049640713
T665,Team Description from T665,665,9112517234
T666,Team Description from T666,666,9579239080
T667,Team Description from T667,667,9365086467
T668,Team Description from T668,668,9957903594
T669,Team Description from T669,669,9549473887
T670,Team Description from T670,670,9127492210
T671,Team Description from T671,671,9936720058
T672,Team Description from T672,672,9891445636
T673,Team Description from T673,673,9100031515
T674,Team Description from T674,674,9372161472
T675,Team Description from T675,675,9133918533
T676,Team Description from T676,676,9964184203
T677,Team Description from T677,677,9697745795
T678,Team Description from T678,678,9615514750
T679,Team Description from T679,679,9674413753
T680,Team Description from T680,680,9362467540
T681,Team Description from T681,681,9138842747
T682,Team Description from T682,682,9619344255
T683,Team Description from T683,683,9548898512
T684,Team Description from T684,684,9541336365
T685,Team Description from T685,685,9123627897
T686,Team Description from T686,686,9136713593
T687,Team Description from T687,687,9800969123
T688,Team Description from T688,688,9934136537
T689,Team Description from T689,689,9985274334
T690,Team Description from T690,690,9774957265
T691,Team Description from T691,691,9010464973
T692,Team Description from T692,692,9114560420
T693,Team Description from T693,693,9860669315
T694,Team Description from T694,694,9591917762
T695,Team Description from T695,695,9868250790
T696,Team Description from T696,696,9362122804
T697,Team Description from T697,697,9174554162
T698,Team Description from T698,698,9397548618
T699,Team Description from T699,699,9166159069
T700,Team Description from T700,700,9313841308
T701,Team Description from T701,701,9388183729
T702,Team Description from T702,702,9096001832
T703,Team Description from T703,703,9562741671
T704,Team Description from T704,704,9664019954
T705,Team Description from T705,705,9226645716
T706,Team Description from T706,706,9726244475
T707,Team Description from T707,707,9525867223
T708,Team Description from T708,708,9851618957
T709,Team Description from T709,709,9548245652
T710,Team Description from T710,710,9279963514
T711,Team Description from T711,711,9692762619
T712,Team Description from T712,712,9364482803
T713,Team Description from T713,713,9739012847
T714,Team Description from T714,714,9787856019
T715,Team Description from T715,715,9906645729
T716,Team Description from T716,716,9925699092
T717,Team Description from T717,717,9745510288
T718,Team Description from T718,718,9162698355
T719,Team Description from T719,719,9053646131
T720,Team Description from T720,720,9938798244
T721,Team Description from T721,721,9351069868
T722,Team Description from T722,722,9748641221
T723,Team Description from T723,723,9402752003
T724,Team Description from T724,724,9527152784
T725,Team Description from T725,725,9555354669
T726,Team Description from T726,726,9256692564
T727,Team Description from T727,727,9027119843
T728,Team Description from T728,728,9817473523
T729,Team Description from T729,729,9450519156
T730,Team Description from T730,730,9334901270
T731,Team Description from T731,731,9842593608
T732,Team Description from T732,732,9317585988
T733,Team Description from T733,733,9542241191
T734,Team Description from T734,734,9440111274
T735,Team Description from T735,735,9807863912
T736,Team Description from T736,736,9086937895
T737,Team Description from T737,737,9404924993
T738,Team Description from T738,738,9653560261
T739,Team Description from T739,739,9299268117
T740,Team Description from T740,740,9651932001
T741,Team Description from T741,741,9633660316
T742,Team Description from T742,742,9424074273
T743,Team Description from T743,743,9402688463
T744,Team Description from T744,744,9053343688
T745,Team Description from T745,745,9758627163
T746,Team Description from T746,746,9633846209
T747,Team Description from T747,747,9332190347
T748,Team Description from T748,748,9924958263
T749,Team Description from T749,749,9763069034
T750,Team Description from T750,750,9973252400
T751,Team Description from T751,751,9589365675
T752,Team Description from T752,752,9693813970
T753,Team Description from T753,753,9075696619
T754,Team Description from T754,754,9153010885
T755,Team Description from T755,755,9938825944
T756,Team Description from T756,756,9714002617
T757,Team Description from T757,757,9473692990
T758,Team Description from T758,758,9134433615
T759,Team Description from T759,759,9950464193
T760,Team Description from T760,760,9931885620
T761,Team Description from T761,761,9670533235
T762,Team Description from T762,762,9013649854
T763,Team Description from T763,763,9140495066
T764,Team Description from T764,764,9217439963
T765,Team Description from T765,765,9296605249
T766,Team Description from T766,766,9101659601
T767,Team Description from T767,767,9095530556
T768,Team Description from T768,768,9659477117
T769,Team Description from T769,769,9103098881
T770,Team Description from T770,770,9720375326
T771,Team Description from T771,771,9623106329
T772,Team Description from T772,772,9149528101
T773,Team Description from T773,773,9348749574
T774,Team Description from T774,774,9309505398
T775,Team Description from T775,775,9155304486
T776,Team Description from T776,776,9347371535
